slug,cost_scope,actual_modeled_cost_unit,whole_gift_allocation_exists,allocation_or_missing,proof_file,proof_line,index_proof,renderer,revision_group,pending_note
"homeless-prenatal-program","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","15% maternal depression;85% other costs retained","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/hpp-model-v1.json","133","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:5","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/homeless-prenatal-program/page.tsx","G0_keep_whole_gift_boundary",""
"felton-institute","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","20% early psychosis;10% crisis;70% other retained","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/felton-model-v1.json","15","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:6","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/felton-institute/page.tsx","G0_keep_whole_gift_boundary",""
"sf-public-health-foundation","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","HCV component allocation; full foundation gift retained","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/sfphf-model-v1.json","20","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:7","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/sf-public-health-foundation/page.tsx","G0_keep_whole_gift_boundary",""
"code-tenderloin","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","Peer-response component; remainder retained","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/code-tenderloin-model-v1.json","7","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:8","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/code-tenderloin/page.tsx","G0_keep_whole_gift_boundary",""
"walk-san-francisco","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","60% physical street work; remaining campaigns retained","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/walk-sf-cea-v1.json","15","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:9","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/walk-san-francisco/page.tsx","G0_keep_whole_gift_boundary",""
"hearing-and-speech-center","program_only","One eligible adult offered hearing-aid assessment/fitting/support course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/hearing-access-cea-v2.json","29","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:10","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/hearing-and-speech-center/page.tsx","G2_clinical_access_and_shared_pathways","Recipient status and PHC shared hearing pathway require deduplication"
"housing-action-coalition","program_only","One technical-assistance advisory project-year","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/hac-developer-pathway-cea-v1.json","36","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:11","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/housing-action-coalition/page.tsx","G3_housing_policy_legal",""
"spur","whole_gift_partial_health","One$100,000 ordinary unrestricted organization gift; partial health quantified","yes_explicit_prior","Housing/transport/clean heat/governance portfolio","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/spur-portfolio-cea-v3.json","15","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:12","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/spur/page.tsx","G0_keep_whole_gift_boundary",""
"operation-access","program_only","One completed abnormal-FIT colonoscopy and downstream-care pathway","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/oa-colonoscopy-cea-v1.json","15","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:13","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/operation-access/page.tsx","G2_clinical_access_and_shared_pathways",""
"pacific-vision-foundation","program_only","One assigned earlier first-eye cataract course","no","No ordinary-gift-to-program allocation in indexed model; overhead/full-course costing does not supply it","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/data/san-francisco/pvf-cataract-cea-v1.json","50","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/lib/sf-research-index.ts:14","/Users/rhyslindmark/Documents/Codex/2026-08-29/okay-you-re-gonna-make-this/work/market-for-impact-hpp/app/charities/pacific-vision-foundation/page.tsx","G2_clinical_access_and_shared_pathways",""
